first_name,title,company,email,linkedin,website,business_address,google_review_link,yelp_link,phone,notes
,,Freddie's Sandwiches,,,http://orderfreddiessandwiches.com,"300 Francisco Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Freddie%27s%20Sandwiches%20300%20Francisco%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Freddie%27s%20Sandwiches&find_loc=San%20Francisco%2C%20CA,+1-415-433-2882,sandwich
,,La Trappe,,,https://www.latrappecafe.com/,"800 Greenwich Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=La%20Trappe%20800%20Greenwich%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=La%20Trappe&find_loc=San%20Francisco%2C%20CA,,belgian
,,Don Pistos,,,https://www.donpistos.com/,"510 Union Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Don%20Pistos%20510%20Union%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Don%20Pistos&find_loc=San%20Francisco%2C%20CA,,mexican
,,ABV,info@abvsf.com,,https://www.abvsf.com/,"3174 16th Street, San Francisco, CA, 94103",https://www.google.com/maps/search/?api=1&query=ABV%203174%2016th%20Street%2C%20San%20Francisco%2C%20CA%2C%2094103,https://www.yelp.com/search?find_desc=ABV&find_loc=San%20Francisco%2C%20CA,+1 415 4004748,
,,Cafe Mason,,,https://www.masondiner.com/,"320 Mason Street, San Francisco, CA, 94102",https://www.google.com/maps/search/?api=1&query=Cafe%20Mason%20320%20Mason%20Street%2C%20San%20Francisco%2C%20CA%2C%2094102,https://www.yelp.com/search?find_desc=Cafe%20Mason&find_loc=San%20Francisco%2C%20CA,+1 415-544-0320,international;mexican
,,Pinecrest Diner,micah@micahrich.com,,https://pinecrestdiner.com/,"401 Geary Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Pinecrest%20Diner%20401%20Geary%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Pinecrest%20Diner&find_loc=San%20Francisco%2C%20CA,+1 415 8856407,american
,,Another Cafe,info@anothercafesf.com,,https://www.anothercafesf.com/,"1191 Pine Street, San Francisco, CA, 94109",https://www.google.com/maps/search/?api=1&query=Another%20Cafe%201191%20Pine%20Street%2C%20San%20Francisco%2C%20CA%2C%2094109,https://www.yelp.com/search?find_desc=Another%20Cafe&find_loc=San%20Francisco%2C%20CA,+1 415 8575770,coffee_shop
,,Asa Sushi,,,http://www.asasushisf.com/,"2365 Chestnut Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Asa%20Sushi%202365%20Chestnut%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Asa%20Sushi&find_loc=San%20Francisco%2C%20CA,+1 415-345-8263,sushi
,,Squat & Gobble,,,https://squatandgobble.com/,"2263 Chestnut Street, San Francisco, CA, 94123",https://www.google.com/maps/search/?api=1&query=Squat%20%26%20Gobble%202263%20Chestnut%20Street%2C%20San%20Francisco%2C%20CA%2C%2094123,https://www.yelp.com/search?find_desc=Squat%20%26%20Gobble&find_loc=San%20Francisco%2C%20CA,+1-415-441-2200,american
,,Beach Chalet,marketing+beach@chaletrestaurants.com,,https://www.beachchalet.com/,"San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Beach%20Chalet%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Beach%20Chalet&find_loc=San%20Francisco%2C%20CA,,western;grill
,,Beach Chalet Brewery & Restaurant,marketing@chaletrestaurants.com,,https://www.parkchalet.com,"1000 Great Highway, San Francisco, CA, 94121",https://www.google.com/maps/search/?api=1&query=Beach%20Chalet%20Brewery%20%26%20Restaurant%201000%20Great%20Highway%2C%20San%20Francisco%2C%20CA%2C%2094121,https://www.yelp.com/search?find_desc=Beach%20Chalet%20Brewery%20%26%20Restaurant&find_loc=San%20Francisco%2C%20CA,,western;grill
,,Pancho Villa,panchovillasf@gmail.com,,http://sfpanchovilla.com,"3071 16th Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Pancho%20Villa%203071%2016th%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Pancho%20Villa&find_loc=San%20Francisco%2C%20CA,,mexican
,,Swig,,,http://www.swig-bar.com/,"561 Geary Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Swig%20561%20Geary%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Swig&find_loc=San%20Francisco%2C%20CA,+1 415 9317292,
,,Ike's Kitchen,,,https://www.ikeskitchensf.com/,"800 Van Ness Avenue, San Francisco, CA, 94109",https://www.google.com/maps/search/?api=1&query=Ike%27s%20Kitchen%20800%20Van%20Ness%20Avenue%2C%20San%20Francisco%2C%20CA%2C%2094109,https://www.yelp.com/search?find_desc=Ike%27s%20Kitchen&find_loc=San%20Francisco%2C%20CA,+1 415 7755800,sushi
,,Son & Garden,,,https://sonandgarden.com/san-francisco,"700 Polk Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Son%20%26%20Garden%20700%20Polk%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Son%20%26%20Garden&find_loc=San%20Francisco%2C%20CA,+1 415 9137404,
,,Underdogs Too,,,https://undrdogstoo.com,"3600 Taraval Street, San Francisco, CA, 94116",https://www.google.com/maps/search/?api=1&query=Underdogs%20Too%203600%20Taraval%20Street%2C%20San%20Francisco%2C%20CA%2C%2094116,https://www.yelp.com/search?find_desc=Underdogs%20Too&find_loc=San%20Francisco%2C%20CA,+1-415-759-8112,mexican
,,Chubby Noodle,,,https://www.chubbynoodle.com/north-beach,"570 Green Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Chubby%20Noodle%20570%20Green%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Chubby%20Noodle&find_loc=San%20Francisco%2C%20CA,+1 415 2969600,noodle
,,Columbus Cafe,beka.columbuscafe@gmail.com,,https://www.columbuscafesf.com/,"562 Green Street, San Francisco, CA, 94133",https://www.google.com/maps/search/?api=1&query=Columbus%20Cafe%20562%20Green%20Street%2C%20San%20Francisco%2C%20CA%2C%2094133,https://www.yelp.com/search?find_desc=Columbus%20Cafe&find_loc=San%20Francisco%2C%20CA,+1 415 2742599,
Currently,Owner,Sotto Mare,sottomare@outlook.com,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Currently%22%20%22Sotto%20Mare%22%20San%20Francisco%20restaurant,https://www.sottomaresf.com/,"552 Green Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Sotto%20Mare%20552%20Green%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Sotto%20Mare&find_loc=San%20Francisco%2C%20CA,+1 415 3983181,italian;seafood
,,Ritual Coffee Roasters,,,https://ritualroasters.com/,"1026 Valencia Street, San Francisco, CA, 94110",https://www.google.com/maps/search/?api=1&query=Ritual%20Coffee%20Roasters%201026%20Valencia%20Street%2C%20San%20Francisco%2C%20CA%2C%2094110,https://www.yelp.com/search?find_desc=Ritual%20Coffee%20Roasters&find_loc=San%20Francisco%2C%20CA,+1 415 641 1011,coffee_shop
,,Giorgio's Pizza,,,http://www.giorgiospizza.com/,"151 Clement Street, San Francisco, CA, 94118",https://www.google.com/maps/search/?api=1&query=Giorgio%27s%20Pizza%20151%20Clement%20Street%2C%20San%20Francisco%2C%20CA%2C%2094118,https://www.yelp.com/search?find_desc=Giorgio%27s%20Pizza&find_loc=San%20Francisco%2C%20CA,+1-415-668-1266,pizza
,,Tavola Rustica,,,https://www.tavolarustica.com/,"215 Church Street, San Francisco, CA, 94114",https://www.google.com/maps/search/?api=1&query=Tavola%20Rustica%20215%20Church%20Street%2C%20San%20Francisco%2C%20CA%2C%2094114,https://www.yelp.com/search?find_desc=Tavola%20Rustica&find_loc=San%20Francisco%2C%20CA,,italian
,,House of Shields,,,https://www.thehouseofshields.com/,"39 New Montgomery Street, San Francisco, CA, 94105",https://www.google.com/maps/search/?api=1&query=House%20of%20Shields%2039%20New%20Montgomery%20Street%2C%20San%20Francisco%2C%20CA%2C%2094105,https://www.yelp.com/search?find_desc=House%20of%20Shields&find_loc=San%20Francisco%2C%20CA,+1 415-975-8651,
,,Inle Burmese Cuisine,contact@inleburmesecuisine.com,,https://inleburmesecuisine.com,"822 Irving Street, San Francisco, CA, 94122",https://www.google.com/maps/search/?api=1&query=Inle%20Burmese%20Cuisine%20822%20Irving%20Street%2C%20San%20Francisco%2C%20CA%2C%2094122,https://www.yelp.com/search?find_desc=Inle%20Burmese%20Cuisine&find_loc=San%20Francisco%2C%20CA,+1-415-374-7378,burmese;thai;asian
,,Pakwan,,,https://pakwanrestaurant.com/guerrero/,"3180-82 16th Street, San Francisco, CA, 94103",https://www.google.com/maps/search/?api=1&query=Pakwan%203180-82%2016th%20Street%2C%20San%20Francisco%2C%20CA%2C%2094103,https://www.yelp.com/search?find_desc=Pakwan&find_loc=San%20Francisco%2C%20CA,+1-415-255-2440,indian;pakistani
,,The Orbit Room,courtney@orbitroomsf.com,,https://www.orbitroomsf.com/,"1900 Market Street, San Francisco, CA, 94102",https://www.google.com/maps/search/?api=1&query=The%20Orbit%20Room%201900%20Market%20Street%2C%20San%20Francisco%2C%20CA%2C%2094102,https://www.yelp.com/search?find_desc=The%20Orbit%20Room&find_loc=San%20Francisco%2C%20CA,+1 415 9326655,
,,Suppenküche,,,https://www.suppenkuche.com/,"525 Laguna Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Suppenk%C3%BCche%20525%20Laguna%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Suppenk%C3%BCche&find_loc=San%20Francisco%2C%20CA,+1 415-252-9289,german
,,Bourbon and Branch,,,https://www.bourbonandbranch.com/,"501 Jones Street, San Francisco, CA, 94102",https://www.google.com/maps/search/?api=1&query=Bourbon%20and%20Branch%20501%20Jones%20Street%2C%20San%20Francisco%2C%20CA%2C%2094102,https://www.yelp.com/search?find_desc=Bourbon%20and%20Branch&find_loc=San%20Francisco%2C%20CA,+1 415 3461735,
,,Delfina,delfina@delfinasf.com,,https://www.delfinasf.com/,"3621 18th Street, San Francisco, CA, 94110",https://www.google.com/maps/search/?api=1&query=Delfina%203621%2018th%20Street%2C%20San%20Francisco%2C%20CA%2C%2094110,https://www.yelp.com/search?find_desc=Delfina&find_loc=San%20Francisco%2C%20CA,+1 415 552 4055,italian;pizza
,,Mochica,info@mochicasf.com,,http://www.mochicasf.com/,"1469 18th Street, San Francisco, CA, 94107",https://www.google.com/maps/search/?api=1&query=Mochica%201469%2018th%20Street%2C%20San%20Francisco%2C%20CA%2C%2094107,https://www.yelp.com/search?find_desc=Mochica&find_loc=San%20Francisco%2C%20CA,+1 415-278-0480,peruvian
,,Goat Hill Pizza,,,http://www.goathill.com,"300 Connecticut Street, San Francisco, CA, 94107",https://www.google.com/maps/search/?api=1&query=Goat%20Hill%20Pizza%20300%20Connecticut%20Street%2C%20San%20Francisco%2C%20CA%2C%2094107,https://www.yelp.com/search?find_desc=Goat%20Hill%20Pizza&find_loc=San%20Francisco%2C%20CA,+1-415-641-1440,pizza
,,Thailand Restaurant,,,https://thailandrestaurantsf.com/,"438A Castro Street, San Francisco, CA, 94114",https://www.google.com/maps/search/?api=1&query=Thailand%20Restaurant%20438A%20Castro%20Street%2C%20San%20Francisco%2C%20CA%2C%2094114,https://www.yelp.com/search?find_desc=Thailand%20Restaurant&find_loc=San%20Francisco%2C%20CA,+1-415-863-6868,thai
,,Sakana,,,https://sakanasf.com/,"605 Post Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Sakana%20605%20Post%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Sakana&find_loc=San%20Francisco%2C%20CA,,sushi
,,Owl Tree,info@owltreesf.com,,https://www.owltreesf.com/,"601 Post Street, San Francisco, CA",https://www.google.com/maps/search/?api=1&query=Owl%20Tree%20601%20Post%20Street%2C%20San%20Francisco%2C%20CA,https://www.yelp.com/search?find_desc=Owl%20Tree&find_loc=San%20Francisco%2C%20CA,+1 415 3591600,
,,Zzan,sangjinkim80@gmail.com,,https://www.zzansf.com/,"643 Post Street, San Francisco, CA, 94109",https://www.google.com/maps/search/?api=1&query=Zzan%20643%20Post%20Street%2C%20San%20Francisco%2C%20CA%2C%2094109,https://www.yelp.com/search?find_desc=Zzan&find_loc=San%20Francisco%2C%20CA,+1 415 8729977,korean
