Company Name,owner_first_name,owner_last_name,owner_title,email,Phone,Address,Website,Google Maps URL,Rating,Reviews,is_chain,source,notes
SAN HO WON,,,,hello@benusf.com,1 415-868-4479,"2170 Bryant St, San Francisco, CA 94110, USA",http://sanhowon.com/,https://www.google.com/maps/place/?q=place_id:ChIJBQpgwVh_j4ARocWBZnqOXEg,4.6,686,no,website,
Southern Pacific Brewing,,,,,1 415-341-0152,"620 Treat Ave, San Francisco, CA 94110, USA",http://www.southernpacificbrewing.com/,https://www.google.com/maps/place/?q=place_id:ChIJn5G9Fzp-j4ARRs66QTw4XAY,4.1,2299,no,website,
Flour + Water,,,,info@flourandwater.com,1 415-826-7000,"2401 Harrison St, San Francisco, CA 94110, USA",http://www.flourandwater.com/,https://www.google.com/maps/place/?q=place_id:ChIJDVaCXjd-j4AR4AOGUS0kLGc,4.5,1836,no,website,
Bottega,,,,info@bottegavalencia.com,1 415-655-9048,"1132 Valencia St, San Francisco, CA 94110, USA",http://www.bottegavalencia.com/,https://www.google.com/maps/place/?q=place_id:ChIJxZMBuHV_j4ARK1fO7KSqyOE,4.4,1051,no,website,
True Laurel,,,,info@truelaurelsf.com,1 415-341-0020,"753 Alabama St, San Francisco, CA 94110, USA",http://www.truelaurelsf.com/,https://www.google.com/maps/place/?q=place_id:ChIJz2enRzd-j4ARkM49V6yDT2U,4.5,835,no,website,
Trick Dog,,,,info@trickdogbar.com,1 415-471-2999,"3010 20th St, San Francisco, CA 94110, USA",https://www.trickdogbar.com/,https://www.google.com/maps/place/?q=place_id:ChIJFc-4Pzd-j4ARf66cV7PRZxw,4.5,1319,no,website,
Wooden Spoon,,,,info@woodenspoonsf.com,1 415-946-3005,"2172 Market St, San Francisco, CA 94114, USA",https://www.woodenspoonsf.com/,https://www.google.com/maps/place/?q=place_id:ChIJB7_2ReF_j4ARs6lccUeGRwo,4.6,773,no,website,
Beit Rima,,,,,1 415-703-0270,"138 Church St, San Francisco, CA 94114, USA",http://beitrimasf.com/,https://www.google.com/maps/place/?q=place_id:ChIJl9NqEC1_j4ARE2Xf-ZIztFM,4.4,892,no,,
Marufuku Ramen,,,,,1 415-872-9786,"1581 Webster St #235, San Francisco, CA 94115, USA",http://www.marufukuramen.com/,https://www.google.com/maps/place/?q=place_id:ChIJsYdOvCx-j4ARJItjWBikyOk,4.5,2941,no,,
Sweet Maple,,,,sweetmaplesm@gmail.com,1 415-655-9169,"2101 Sutter St, San Francisco, CA 94115, USA",https://www.sweetmaplesf.com/,https://www.google.com/maps/place/?q=place_id:ChIJMT5TG7iAhYAREDkkUYkUSYg,4.6,4456,no,website,
Parking Garage @ Japan Center,,,,contactus@japancentergarage.org,1 415-956-8003,"1610 Geary Blvd, San Francisco, CA 94115, USA",http://japancentergarage.org/,https://www.google.com/maps/place/?q=place_id:ChIJ41h3xL6AhYARdoztqtBvwA0,4.2,773,no,website,
Copra,Sri,Gopinathan,Chef,info@coprasanfrancisco.com,1 415-873-0795,"1700 Fillmore St, San Francisco, CA 94115, USA",https://www.coprarestaurant.com/,https://www.google.com/maps/place/?q=place_id:ChIJGx1jA6SBhYARLMB1ta069Bs,4.3,1004,no,website,
Presidio Golf Course,,,,lpetrie@presidiotrust.gov,1 415-561-4661,"300 Finley Rd, San Francisco, CA 94129, USA",http://www.presidiogolf.com/,https://www.google.com/maps/place/?q=place_id:ChIJOR1geCGHhYARQ484akGas0M,4.5,888,no,website,
Daeho Kalbijim & Beef Soup,,,,,1 415-563-1388,"1620 Post St, San Francisco, CA 94115, USA",https://www.daeho-kalbijjim.com/,https://www.google.com/maps/place/?q=place_id:ChIJVf29bvOBhYARVIE6JZtMYsk,4.6,1426,no,,
Burma Superstar,,,,markfrombsr@gmail.com,1 415-387-2147,"309 Clement St, San Francisco, CA 94118, USA",http://www.burmasuperstar.com/,https://www.google.com/maps/place/?q=place_id:ChIJX5U6hOF9hYARluNcw9h5G5U,4.6,3883,no,website,
Nopa,,,,info@nopasf.com,1 415-864-8643,"560 Divisadero St, San Francisco, CA 94117, USA",http://www.nopasf.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://www.google.com/maps/place/?q=place_id:ChIJ_dQjyK-AhYARBc9DFlxcclg,4.5,2988,no,website,
Zazie,,,,,1 415-564-5332,"941 Cole St, San Francisco, CA 94117, USA",https://www.zaziesf.com/?y_source=1_NTczMjkxODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.google.com/maps/place/?q=place_id:ChIJgSeZU1SHhYARQU-BswtkEiY,4.5,3485,no,,
Champa Garden Restaurant,,,,,1 415-349-4186,"613 Faxon Ave, San Francisco, CA 94112, USA",https://champagardensf.com/,https://www.google.com/maps/place/?q=place_id:ChIJ54aGx819j4ARaTQg1JK3yNQ,4.3,425,no,,
Won Kok Restaurant,,,,,1 415-587-1826,"700 Monterey Blvd, San Francisco, CA 94127, USA",,https://www.google.com/maps/place/?q=place_id:ChIJNYp_I9d9j4AR5plM2-GGdWM,4,325,no,,
Pho Golden,,,,,1 415-333-9997,"4683 Mission St, San Francisco, CA 94112, USA",https://www.phogoldenca.com/,https://www.google.com/maps/place/?q=place_id:ChIJdWtTLgB_j4ARSzWp03Qu45M,4.8,51,no,,
Go Go 7,,,,,1 415-333-4344,"1300 Ocean Ave, San Francisco, CA 94112, USA",,https://www.google.com/maps/place/?q=place_id:ChIJd9gkz-J9j4AR2y-wHuAyAZ0,4.7,340,no,,
Banh Mi Viet Diamond,,,,,1 415-859-9454,"2906 Diamond St, San Francisco, CA 94131, USA",,https://www.google.com/maps/place/?q=place_id:ChIJiwlvMRx_j4ARz_S5bsn34lM,4.9,124,no,,
Golden Coast Restaurant,,,,,1 415-587-3888,"1540 Ocean Ave, San Francisco, CA 94112, USA",https://goldencoastrestaurantgo.twupro.com/,https://www.google.com/maps/place/?q=place_id:ChIJx-Pzms19j4ARL2PNT2oyl8w,3.9,329,no,,
Taqueria La Iguana Azul,,,,,1 415-584-2318,"928 Geneva Ave #3403, San Francisco, CA 94112, USA",https://blueiguana415.com/,https://www.google.com/maps/place/?q=place_id:ChIJCyaqfJt-j4ARPlq6Fwml8qI,3.9,409,no,,
Amami Sushi Bistro,,,,,1 415-333-9288,"4435 Mission St, San Francisco, CA 94112, USA",https://amamisushitogo.com/,https://www.google.com/maps/place/?q=place_id:ChIJ42F1lK9_j4ARni43zxk3Mpw,4.4,157,no,,
Four Chairs,,,,info@fourchairssf.com,1 415-400-4788,"3282 Mission St, San Francisco, CA 94110, USA",http://www.fourchairssf.com/,https://www.google.com/maps/place/?q=place_id:ChIJNXULex9_j4AR2tZ3pmlVbMc,4.4,384,no,website,
Farmhouse Kitchen Thai Cuisine,,,,,1 415-814-2920,"710 Florida St, San Francisco, CA 94110, USA",https://farmhousethai.com/san-francisco?utm_source=google,https://www.google.com/maps/place/?q=place_id:ChIJNZloNTd-j4ARxGMOXZp7KfI,4.4,3019,yes,,Chain/franchise — individual owner not applicable
Penny Roma,,,,diana@fwhospitality.com,1 415-826-7004,"3000 20th St, San Francisco, CA 94110, USA",http://www.pennyroma.com/,https://www.google.com/maps/place/?q=place_id:ChIJr-EMFjd-j4ARHKaF3ehlmgY,4.5,851,no,website,
Taqueria Cancun,,,,,1 415-252-9560,"2288 Mission St, San Francisco, CA 94110, USA",https://rebrand.ly/taqueria-cancun,https://www.google.com/maps/place/?q=place_id:ChIJBxm1jjx-j4ARY3l-wL7YQss,4.5,2503,no,,
Souvla,,,,,1 415-870-3600,"758 Valencia St, San Francisco, CA 94110, USA",https://www.souvla.com/location/the-mission/,https://www.google.com/maps/place/?q=place_id:ChIJVcYPIz1-j4AR4D03J06gFmk,4.5,1208,yes,,Chain/franchise — individual owner not applicable
Panchita's Pupusería & Restaurant,,,,panchitas3091@yahoo.com,1 415-431-4232,"3091 16th St, San Francisco, CA 94103, USA",https://www.panchitaspupuseria.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9xX3USJ-j4ARbOaAJfykQgU,4.5,2022,no,website,
Taishoken San Francisco,,,,contact@taishokenusa.com,1 415-400-5336,"665 Valencia St, San Francisco, CA 94110, USA",https://www.taishokenusa.com/,https://www.google.com/maps/place/?q=place_id:ChIJnYD5q69_j4ARDH9_cuPacdE,4.6,455,no,website,
Pakwan Restaurant,Usually,,Owner,,1 415-841-8400,"1140 Ocean Ave, San Francisco, CA 94112, USA",http://www.pakwanrestaurant.com/,https://www.google.com/maps/place/?q=place_id:ChIJVay2NdN9j4ARoRYNaQbsgt4,4.3,751,no,website,
Loló,,,,lolorestaurantsf@gmail.com,1 415-643-5656,"974 Valencia St, San Francisco, CA 94110, USA",http://lolosf.com/,https://www.google.com/maps/place/?q=place_id:ChIJnbFn3z5-j4ARoqlFeSBuvFA,4.6,1873,no,website,
Tacos El Patron,,,,tacoselpatron2290@gmail.com,1 415-829-7315,"1500 S Van Ness Ave #100, San Francisco, CA 94110, USA",https://tacos-el-patron.com/tacoselpatron?utm_source=google,https://www.google.com/maps/place/?q=place_id:ChIJW-4ApCd_j4AR7woQDYORh5o,4.6,1431,no,website,
Beretta Valencia,,,,,1 415-695-1199,"1199 Valencia St, San Francisco, CA 94110, USA",http://berettasf.com/?utm_source=yext&utm_medium=gmb,https://www.google.com/maps/place/?q=place_id:ChIJHeoUcz9-j4AR9BGHeYE4w3o,4.5,2549,no,,
HINODEYA Ramen Japantown,,,,us@sasaladining.com,1 415-216-5011,"1737 Buchanan St, San Francisco, CA 94115, USA",https://hinodeyaramen.com/hinodeyaramenjapantown?utm_source=google,https://www.google.com/maps/place/?q=place_id:ChIJ0yhhzriAhYAR-2lnzuizNZM,4.5,3130,no,website,
Che Fico,,,,info@chefico.com,1 415-416-6959,"838 Divisadero St, San Francisco, CA 94117, USA",https://www.chefico.com/,https://www.google.com/maps/place/?q=place_id:ChIJa19vTLCAhYARXDWaUW9pGwA,4.2,1180,no,website,
Cafe Réveille,,,,,,"201 Steiner St, San Francisco, CA 94117, USA",http://www.cafereveille.com/,https://www.google.com/maps/place/?q=place_id:ChIJ74VF-qaAhYARb0YeIN1ZqEA,4.4,771,no,,
